"","year","inst","numx","men","women"
"1",1975,1,1,50564,102041
"2",1975,1,2,14282,11406
"3",1975,1,3,13398,6260
"4",1975,1,4,8744,9238
"5",1975,1,5,156179,11990
"6",1975,1,6,438319,21532
"7",1975,1,7,31336,19284
"8",1975,1,8,9390,637
"9",1975,1,9,10150,2581
"10",1975,1,10,11403,562
"11",1975,1,11,9467,2318
"12",1975,1,12,2011,716
"13",1975,1,13,1812,146
"14",1975,1,14,8138,921
"15",1975,1,15,72247,52
"16",1975,1,16,86489,305
"17",1975,1,17,80735,919
"18",1975,1,18,37114,867
"19",1975,1,19,6215,111
"20",1975,1,20,1598,8
"21",1975,1,21,1425,4
"22",1975,1,22,7233,22
"23",1975,1,23,2473,125
"24",1975,1,24,1789,2
"25",1975,1,25,1853,1
"26",1975,1,26,19340,175
"27",1975,1,27,994,148
"28",1975,1,28,11555,160
"29",1975,1,29,11313,1243
"30",1975,1,30,8611,1596
"31",1975,1,31,5332,28
"32",1975,1,32,6106,214
"33",1975,1,33,4252,62
"34",1975,1,34,552,36
"35",1975,1,35,8691,1271
"36",1975,1,36,6841,204
"37",1975,1,37,2047,597
"38",1975,1,38,34921,4369
"39",1975,1,39,15128,2898
"40",1975,1,40,11186,19956
"41",1975,1,41,22,431
"42",1975,1,42,1311,2301
"43",1975,1,43,1861,0
"44",1975,1,44,48,8703
"45",1975,1,45,21,8336
"46",1975,1,46,0,5580
"47",1975,1,47,52,575
"48",1975,1,48,0,5766
"49",1975,1,49,6298,10887
"50",1975,1,50,14900,29311
"51",1975,1,51,8686,9090
"52",1975,1,52,396,536
"53",1975,1,53,2735,2555
"54",1975,1,54,45,73
"55",1975,1,55,84,241
"56",1975,1,56,966,2946
"57",1975,1,57,97,2206
"58",1975,1,58,14534,5789
"59",1975,1,59,885,6226
"60",1975,1,60,3448,2477
"61",1975,1,61,3767,1394
"62",1975,1,62,2319,15864
"63",1975,1,63,6785,2910
"64",1975,1,64,1461,1677
"65",1975,1,66,7075,4826
"66",1975,1,67,6639,405
"67",1975,2,1,6340,4495
"68",1975,2,2,1137,751
"69",1975,2,3,1069,533
"70",1975,2,4,2164,1264
"71",1975,2,5,13141,906
"72",1975,2,6,25670,1190
"73",1975,2,7,735,168
"74",1975,2,8,1365,65
"75",1975,2,9,3397,642
"76",1975,2,10,4137,294
