"","major","year","men","women","type"
"1","30",2019,1427514,1172170,1
"2","令和元年度",2019,1425186,1183962,1
"3","文学",2019,39687,96519,1
"4","史学",2019,14401,11380,1
"5","哲学",2019,18036,27657,1
"6","その他",2019,54658,102825,1
"7","法学・政治学",2019,104933,52633,1
"8","商学・経済学",2019,322066,138147,1
"9","社会学",2019,61759,73764,1
"10","その他",2019,50079,33027,1
"11","数学",2019,12697,2994,1
"12","物理学",2019,9590,1760,1
"13","化学",2019,7350,3392,1
"14","生物学",2019,6042,3836,1
"15","地学",2019,2057,751,1
"16","その他",2019,18534,8994,1
"17","機械工学",2019,59983,3753,1
"18","電気通信工学",2019,97138,9863,1
"19","土木建築工学",2019,43619,12056,1
"20","応用化学",2019,23119,8298,1
"21","応用理学",2019,8060,1041,1
"22","原子力工学",2019,370,38,1
"23","鉱山学",2019,0,0,1
"24","金属工学",2019,6,0,1
"25","繊維工学",2019,221,93,1
"26","船舶工学",2019,1093,65,1
"27","航空工学",2019,1874,256,1
"28","経営工学",2019,5565,1225,1
"29","工芸学",2019,1392,870,1
"30","その他",2019,79452,21002,1
"31","農学",2019,6028,4397,1
"32","農芸化学",2019,3089,3066,1
"33","農業工学",2019,1780,762,1
"34","農業経済学",2019,1084,1264,1
"35","林学",2019,1037,545,1
"36","林産学",2019,0,0,1
"37","獣医学畜産学",2019,4498,6335,1
"38","水産学",2019,4799,2012,1
"39","その他",2019,19997,16407,1
"40","医学",2019,37629,19351,1
"41","歯学",2019,8666,6463,1
"42","薬学",2019,29142,43725,1
"43","看護学",2019,8323,80382,1
"44","その他",2019,41594,57540,1
"45","商船学",2019,331,75,1
"46","家政学",2019,1834,17754,1
"47","食物学",2019,3988,35213,1
"48","被服学",2019,499,5456,1
"49","住居学",2019,331,887,1
"50","児童学",2019,359,4735,1
"51","その他",2019,0,545,1
"52","教育学",2019,13662,26864,1
"53","小学校課程",2019,5442,6745,1
"54","中学校課程",2019,318,298,1
"55","高等学校課程",2019,0,0,1
"56","特別教科課程",2019,0,0,1
"57","盲学校課程",2019,0,0,1
"58","聾学校課程",2019,0,0,1
"59","中等教育学校課程",2019,2386,1672,1
"60","養護学校課程",2019,2,42,1
"61","幼稚園課程",2019,4,77,1
"62","体育学",2019,24179,13567,1
"63","障害児教育課程",2019,0,0,1
"64","特別支援教育課程",2019,265,954,1
"65","その他",2019,30964,61902,1
"66","美術",2019,3474,9409,1
"67","デザイン",2019,6090,12557,1
"68","音楽",2019,3486,11837,1
"69","その他",2019,9554,16513,1
"70","教養学",2019,2558,4155,1
"71","総合科学",2019,293,272,1
"72","教養課程（文科）",2019,2864,2392,1
"73","教養課程（理科）",2019,4976,907,1
"74","教養課程（その他）",2019,1989,891,1
"75","人文・社会科学",2019,14317,18799,1
"76","国際関係学（国際関係学部）",2019,6199,11478,1
"77","人間関係科学",2019,10424,5094,1
"78","その他",2019,62951,54384,1
"79","29",2018,1426649,1156021,1
"80","30",2018,1427514,1172170,1
"81","文学",2018,40051,97210,1
"82","史学",2018,14472,11550,1
"83","哲学",2018,17414,26844,1
"84","その他",2018,54681,102941,1
"85","法学・政治学",2018,106714,51997,1
"86","商学・経済学",2018,322444,136990,1
"87","社会学",2018,61943,74165,1
"88","その他",2018,50312,32675,1
"89","数学",2018,12799,2984,1
"90","物理学",2018,9875,1804,1
"91","化学",2018,7538,3389,1
"92","生物学",2018,5806,3829,1
"93","地学",2018,2136,779,1
"94","その他",2018,18523,8996,1
"95","機械工学",2018,62802,3775,1
"96","電気通信工学",2018,99720,9864,1
"97","土木建築工学",2018,45220,11705,1
"98","応用化学",2018,23812,8480,1
"99","応用理学",2018,8167,1036,1
"100","原子力工学",2018,370,34,1
"101","鉱山学",2018,0,0,1
"102","金属工学",2018,32,2,1
"103","繊維工学",2018,339,123,1
"104","船舶工学",2018,1062,69,1
"105","航空工学",2018,1813,239,1
"106","経営工学",2018,6070,1291,1
"107","工芸学",2018,1352,832,1
"108","その他",2018,74119,19996,1
"109","農学",2018,6196,4565,1
"110","農芸化学",2018,3086,3123,1
"111","農業工学",2018,1773,791,1
"112","農業経済学",2018,1067,1285,1
"113","林学",2018,1081,556,1
"114","林産学",2018,0,0,1
"115","獣医学畜産学",2018,4582,6126,1
"116","水産学",2018,4760,1988,1
"117","その他",2018,19797,16154,1
"118","医学",2018,37838,18921,1
"119","歯学",2018,8803,6412,1
"120","薬学",2018,30108,44273,1
"121","看護学",2018,8543,77964,1
"122","その他",2018,41054,55356,1
"123","商船学",2018,333,62,1
"124","家政学",2018,1908,17981,1
"125","食物学",2018,3878,35549,1
"126","被服学",2018,353,5222,1
"127","住居学",2018,332,873,1
"128","児童学",2018,366,4647,1
"129","その他",2018,0,519,1
"130","教育学",2018,13484,25706,1
"131","小学校課程",2018,5516,6637,1
"132","中学校課程",2018,381,341,1
"133","高等学校課程",2018,0,0,1
"134","特別教科課程",2018,0,0,1
