"","year","inst","numx","men","women"
"1",1975,1,1,9178,19618
"2",1975,1,2,2877,2340
"3",1975,1,3,2664,1181
"4",1975,1,4,1373,1462
"5",1975,1,5,29810,2137
"6",1975,1,6,85765,3294
"7",1975,1,7,5516,3404
"8",1975,1,8,1762,209
"9",1975,1,9,1945,527
"10",1975,1,10,2432,135
"11",1975,1,11,1903,493
"12",1975,1,12,393,144
"13",1975,1,13,302,15
"14",1975,1,14,1031,116
"15",1975,1,15,14883,8
"16",1975,1,16,16228,40
"17",1975,1,17,15145,190
"18",1975,1,18,7521,172
"19",1975,1,19,1275,29
"20",1975,1,20,392,1
"21",1975,1,21,334,0
"22",1975,1,22,1541,7
"23",1975,1,23,537,26
"24",1975,1,24,405,0
"25",1975,1,25,371,0
"26",1975,1,26,3959,40
"27",1975,1,27,134,25
"28",1975,1,28,1095,11
"29",1975,1,29,2324,251
"30",1975,1,30,1863,366
"31",1975,1,31,1085,2
"32",1975,1,32,1106,29
"33",1975,1,33,910,9
"34",1975,1,34,141,5
"35",1975,1,35,1717,219
"36",1975,1,36,1243,27
"37",1975,1,37,139,62
"38",1975,1,38,3758,476
"39",1975,1,39,1572,245
"40",1975,1,40,2034,4046
"41",1975,1,41,1,72
"42",1975,1,42,228,426
"43",1975,1,43,0,0
"44",1975,1,44,13,1896
"45",1975,1,45,4,1727
"46",1975,1,46,1,1116
"47",1975,1,47,10,203
"48",1975,1,48,0,969
"49",1975,1,49,1133,1972
"50",1975,1,50,3183,6200
"51",1975,1,51,1878,2088
"52",1975,1,52,85,114
"53",1975,1,53,590,566
"54",1975,1,54,8,17
"55",1975,1,55,16,50
"56",1975,1,56,160,551
"57",1975,1,57,10,295
"58",1975,1,58,2728,960
"59",1975,1,59,138,928
"60",1975,1,60,684,453
"61",1975,1,61,728,341
"62",1975,1,62,486,3475
"63",1975,1,63,1044,464
"64",1975,1,64,229,256
"65",1975,2,1,1240,1015
"66",1975,2,2,319,194
"67",1975,2,3,347,174
"68",1975,2,4,150,52
"69",1975,2,5,2601,150
"70",1975,2,6,5490,187
"71",1975,2,7,20,10
"72",1975,2,8,315,24
"73",1975,2,9,794,147
"74",1975,2,10,1042,80
"75",1975,2,11,699,179
"76",1975,2,12,347,120
"77",1975,2,13,222,8
"78",1975,2,14,394,56
"79",1975,2,15,3809,3
"80",1975,2,16,3791,9
"81",1975,2,17,2404,32
"82",1975,2,18,3183,55
"83",1975,2,19,586,7
"84",1975,2,20,226,1
"85",1975,2,21,279,0
"86",1975,2,22,847,6
"87",1975,2,23,537,26
"88",1975,2,24,173,0
"89",1975,2,25,111,0
"90",1975,2,26,170,0
"91",1975,2,27,74,16
"92",1975,2,28,403,7
"93",1975,2,29,1134,163
"94",1975,2,30,1054,231
"95",1975,2,31,848,0
"96",1975,2,32,199,11
"97",1975,2,33,567,9
"98",1975,2,34,141,5
"99",1975,2,35,593,79
"100",1975,2,36,529,15
"101",1975,2,37,0,0
"102",1975,2,38,2127,218
"103",1975,2,39,254,63
