"","year","inst","Non-STEM","STEM","Health"
"1",1975,"Total",68.2347983923246,27.5975625567224,4.16763905095294
"2",1990,"Total",67.5124932296404,26.8673418290701,5.62016494128949
"3",2005,"Total",69.1129395264194,24.7689956745249,6.1180647990557
"4",2019,"Total",65.1484163396164,22.7966277764329,12.0549558839507
"5",1975,"National & Public",52.5976280011571,40.4339022273648,6.96846977147816
"6",1990,"National & Public",51.6131044593007,40.3156548590678,8.07124068163151
"7",2005,"National & Public",47.0303552206674,42.0753498385361,10.8942949407966
"8",2019,"National & Public",45.3528686201954,40.3857052371904,14.2614261426143
"9",1975,"Private",72.7864023797504,23.8592509460175,3.35434667423203
"10",1990,"Private",72.6922308294183,22.4861210374249,4.82164813315675
"11",2005,"Private",75.4997434658511,19.7635900833362,4.73666645081269
"12",2019,"Private",71.0182354671062,17.5810760383639,11.4006884945299
