"","year","inst","numx","men","women","major","stem"
"1",1975,"Total",1,50564,102041,"Literature","Non-STEM"
"2",1975,"Total",2,14282,11406,"History","Non-STEM"
"3",1975,"Total",3,13398,6260,"Philosophy","Non-STEM"
"4",1975,"Total",4,8744,9238,"Humanities: Others","Non-STEM"
"5",1975,"Total",5,156179,11990,"Law and politics","Non-STEM"
"6",1975,"Total",6,438319,21532,"Commerce and economics","Non-STEM"
"7",1975,"Total",7,31336,19284,"Sociology","Non-STEM"
"8",1975,"Total",8,9390,637,"Social sciences: Others","Non-STEM"
"9",1975,"Total",9,10150,2581,"Mathematics","STEM"
"10",1975,"Total",10,11403,562,"Physics","STEM"
"11",1975,"Total",11,9467,2318,"Chemistry","STEM"
"12",1975,"Total",12,2011,716,"Biology","STEM"
"13",1975,"Total",13,1812,146,"Geography","STEM"
"14",1975,"Total",14,8138,921,"Physical sciences: Others","STEM"
"15",1975,"Total",15,72247,52,"Mechanical engineering","STEM"
"16",1975,"Total",16,86489,305,"Telecommunications engineering","STEM"
"17",1975,"Total",17,80735,919,"Civil engineering","STEM"
"18",1975,"Total",18,37114,867,"Applied chemistry","STEM"
"19",1975,"Total",19,6215,111,"Applied science","STEM"
"20",1975,"Total",20,1598,8,"Nuclear engineering","STEM"
"21",1975,"Total",21,1425,4,"Mining engineering","STEM"
"22",1975,"Total",22,7233,22,"Metallurgical engineering","STEM"
"23",1975,"Total",23,2473,125,"Textile engineering","STEM"
"24",1975,"Total",24,1789,2,"Marine engineering","STEM"
"25",1975,"Total",25,1853,1,"Aeronautical engineering","STEM"
"26",1975,"Total",26,19340,175,"Engineering management","STEM"
"27",1975,"Total",27,994,148,"Crafts","STEM"
"28",1975,"Total",28,11555,160,"Engineering: Others","STEM"
"29",1975,"Total",29,11313,1243,"Agricultural sciences","STEM"
"30",1975,"Total",30,8611,1596,"Agricultural chemistry","STEM"
"31",1975,"Total",31,5332,28,"Agricultural engineering","STEM"
"32",1975,"Total",32,6106,214,"Agricultural economics","STEM"
"33",1975,"Total",33,4252,62,"Forestry","STEM"
"34",1975,"Total",34,552,36,"Forest products","STEM"
"35",1975,"Total",35,8691,1271,"Veterinary medicine","STEM"
"36",1975,"Total",36,6841,204,"Fisheries science","STEM"
"37",1975,"Total",37,2047,597,"Agricultural sciences: Others","STEM"
"38",1975,"Total",38,34921,4369,"Medicine","Health"
"39",1975,"Total",39,15128,2898,"Dentistry","Health"
"40",1975,"Total",40,11186,19956,"Pharmacy","Health"
"41",1975,"Total",41,22,431,"Nursing","Health"
"42",1975,"Total",42,1311,2301,"Health: Others","Health"
"43",1975,"Total",43,1861,0,"Merchant marine","Non-STEM"
"44",1975,"Total",44,48,8703,"Home economics","Non-STEM"
"45",1975,"Total",45,21,8336,"Food science","Non-STEM"
"46",1975,"Total",46,0,5580,"Clothing","Non-STEM"
"47",1975,"Total",47,52,575,"Housing","Non-STEM"
"48",1975,"Total",48,0,5766,"Child","Non-STEM"
"49",1975,"Total",49,6298,10887,"Pedagogy","Non-STEM"
"50",1975,"Total",50,14900,29311,"Elementary school education","Non-STEM"
"51",1975,"Total",51,8686,9090,"Junior high school education","Non-STEM"
"52",1975,"Total",52,396,536,"High school education","Non-STEM"
"53",1975,"Total",53,2735,2555,"Specialized subjects education","Non-STEM"
"54",1975,"Total",54,45,73,"Visually impaired education","Non-STEM"
"55",1975,"Total",55,84,241,"Deaf education","Non-STEM"
"56",1975,"Total",56,966,2946,"Special school education","Non-STEM"
"57",1975,"Total",57,97,2206,"Kindergarten education","Non-STEM"
"58",1975,"Total",58,14534,5789,"Physical education","Non-STEM"
"59",1975,"Total",59,885,6226,"Pedagogy: Others","Non-STEM"
"60",1975,"Total",60,3448,2477,"Fine arts","Non-STEM"
"61",1975,"Total",61,3767,1394,"Design","Non-STEM"
"62",1975,"Total",62,2319,15864,"Music","Non-STEM"
"63",1975,"Total",63,6785,2910,"Fine arts: Others","Non-STEM"
"64",1975,"Total",64,1461,1677,"Liberal arts","Non-STEM"
"65",1975,"Total",66,7075,4826,"Liberal arts (humanities and social sciene)","Non-STEM"
"66",1975,"Total",67,6639,405,"Liberal arts (science)","Non-STEM"
"67",1975,"National",1,6340,4495,"Literature","Non-STEM"
"68",1975,"National",2,1137,751,"History","Non-STEM"
"69",1975,"National",3,1069,533,"Philosophy","Non-STEM"
"70",1975,"National",4,2164,1264,"Humanities: Others","Non-STEM"
"71",1975,"National",5,13141,906,"Law and politics","Non-STEM"
"72",1975,"National",6,25670,1190,"Commerce and economics","Non-STEM"
"73",1975,"National",7,735,168,"Sociology","Non-STEM"
"74",1975,"National",8,1365,65,"Social sciences: Others","Non-STEM"
"75",1975,"National",9,3397,642,"Mathematics","STEM"
"76",1975,"National",10,4137,294,"Physics","STEM"
"77",1975,"National",11,3113,875,"Chemistry","STEM"
"78",1975,"National",12,1679,554,"Biology","STEM"
"79",1975,"National",13,1050,62,"Geography","STEM"
"80",1975,"National",14,4180,534,"Physical sciences: Others","STEM"
"81",1975,"National",15,18020,16,"Mechanical engineering","STEM"
"82",1975,"National",16,19561,117,"Telecommunications engineering","STEM"
"83",1975,"National",17,10675,88,"Civil engineering","STEM"
"84",1975,"National",18,15545,334,"Applied chemistry","STEM"
"85",1975,"National",19,2584,18,"Applied science","STEM"
"86",1975,"National",20,727,3,"Nuclear engineering","STEM"
"87",1975,"National",21,1149,3,"Mining engineering","STEM"
"88",1975,"National",22,3723,12,"Metallurgical engineering","STEM"
"89",1975,"National",23,2473,125,"Textile engineering","STEM"
"90",1975,"National",24,732,0,"Marine engineering","STEM"
"91",1975,"National",25,328,0,"Aeronautical engineering","STEM"
"92",1975,"National",26,698,3,"Engineering management","STEM"
"93",1975,"National",27,600,88,"Crafts","STEM"
"94",1975,"National",28,6040,68,"Engineering: Others","STEM"
"95",1975,"National",29,5231,806,"Agricultural sciences","STEM"
"96",1975,"National",30,4102,1033,"Agricultural chemistry","STEM"
"97",1975,"National",31,3630,20,"Agricultural engineering","STEM"
"98",1975,"National",32,833,56,"Agricultural economics","STEM"
"99",1975,"National",33,2472,46,"Forestry","STEM"
"100",1975,"National",34,552,36,"Forest products","STEM"
"101",1975,"National",35,2822,398,"Veterinary medicine","STEM"
"102",1975,"National",36,3376,107,"Fisheries science","STEM"
"103",1975,"National",37,1226,212,"Agricultural sciences: Others","STEM"
"104",1975,"National",38,16775,1596,"Medicine","Health"
"105",1975,"National",39,1711,350,"Dentistry","Health"
"106",1975,"National",40,1303,2828,"Pharmacy","Health"
"107",1975,"National",41,22,38,"Nursing","Health"
"108",1975,"National",42,360,363,"Health: Others","Health"
"109",1975,"National",43,1861,0,"Merchant marine","Non-STEM"
"110",1975,"National",44,0,181,"Home economics","Non-STEM"
"111",1975,"National",45,0,221,"Food science","Non-STEM"
"112",1975,"National",46,0,230,"Clothing","Non-STEM"
"113",1975,"National",47,0,112,"Housing","Non-STEM"
"114",1975,"National",48,0,148,"Child","Non-STEM"
"115",1975,"National",49,1010,918,"Pedagogy","Non-STEM"
"116",1975,"National",50,14900,29311,"Elementary school education","Non-STEM"
"117",1975,"National",51,8686,9090,"Junior high school education","Non-STEM"
"118",1975,"National",52,396,536,"High school education","Non-STEM"
"119",1975,"National",53,2735,2555,"Specialized subjects education","Non-STEM"
"120",1975,"National",54,45,73,"Visually impaired education","Non-STEM"
"121",1975,"National",55,84,241,"Deaf education","Non-STEM"
"122",1975,"National",56,966,2946,"Special school education","Non-STEM"
"123",1975,"National",57,97,2206,"Kindergarten education","Non-STEM"
"124",1975,"National",58,393,105,"Physical education","Non-STEM"
"125",1975,"National",59,506,236,"Pedagogy: Others","Non-STEM"
"126",1975,"National",60,305,99,"Fine arts","Non-STEM"
"127",1975,"National",61,35,8,"Design","Non-STEM"
"128",1975,"National",62,373,542,"Music","Non-STEM"
"129",1975,"National",63,400,210,"Fine arts: Others","Non-STEM"
"130",1975,"National",64,537,152,"Liberal arts","Non-STEM"
"131",1975,"National",66,4005,917,"Liberal arts (humanities and social sciene)","Non-STEM"
"132",1975,"National",67,6251,346,"Liberal arts (science)","Non-STEM"
"133",1975,"Public",1,3453,5616,"Literature","Non-STEM"
"134",1975,"Public",2,114,63,"History","Non-STEM"
"135",1975,"Public",3,24,4,"Philosophy","Non-STEM"
"136",1975,"Public",4,460,268,"Humanities: Others","Non-STEM"
"137",1975,"Public",5,1991,202,"Law and politics","Non-STEM"
"138",1975,"Public",6,11912,913,"Commerce and economics","Non-STEM"
"139",1975,"Public",7,159,607,"Sociology","Non-STEM"
"140",1975,"Public",8,0,0,"Social sciences: Others","Non-STEM"
"141",1975,"Public",9,199,35,"Mathematics","STEM"
"142",1975,"Public",10,281,10,"Physics","STEM"
"143",1975,"Public",11,216,51,"Chemistry","STEM"
"144",1975,"Public",12,127,42,"Biology","STEM"
"145",1975,"Public",13,106,9,"Geography","STEM"
"146",1975,"Public",14,314,68,"Physical sciences: Others","STEM"
"147",1975,"Public",15,1207,0,"Mechanical engineering","STEM"
"148",1975,"Public",16,284,8,"Telecommunications engineering","STEM"
"149",1975,"Public",17,730,14,"Civil engineering","STEM"
"150",1975,"Public",18,955,8,"Applied chemistry","STEM"
"151",1975,"Public",19,170,3,"Applied science","STEM"
"152",1975,"Public",20,0,0,"Nuclear engineering","STEM"
"153",1975,"Public",21,0,0,"Mining engineering","STEM"
"154",1975,"Public",22,416,0,"Metallurgical engineering","STEM"
"155",1975,"Public",23,0,0,"Textile engineering","STEM"
"156",1975,"Public",24,136,0,"Marine engineering","STEM"
"157",1975,"Public",25,153,0,"Aeronautical engineering","STEM"
"158",1975,"Public",26,145,2,"Engineering management","STEM"
"159",1975,"Public",27,0,0,"Crafts","STEM"
"160",1975,"Public",28,0,0,"Engineering: Others","STEM"
"161",1975,"Public",29,313,63,"Agricultural sciences","STEM"
"162",1975,"Public",30,238,40,"Agricultural chemistry","STEM"
"163",1975,"Public",31,124,1,"Agricultural engineering","STEM"
"164",1975,"Public",32,0,0,"Agricultural economics","STEM"
"165",1975,"Public",33,154,0,"Forestry","STEM"
"166",1975,"Public",34,0,0,"Forest products","STEM"
"167",1975,"Public",35,147,26,"Veterinary medicine","STEM"
"168",1975,"Public",36,0,0,"Fisheries science","STEM"
"169",1975,"Public",37,0,0,"Agricultural sciences: Others","STEM"
"170",1975,"Public",38,3334,386,"Medicine","Health"
"171",1975,"Public",39,660,91,"Dentistry","Health"
"172",1975,"Public",40,684,766,"Pharmacy","Health"
"173",1975,"Public",41,0,92,"Nursing","Health"
"174",1975,"Public",42,0,0,"Health: Others","Health"
"175",1975,"Public",43,0,0,"Merchant marine","Non-STEM"
"176",1975,"Public",44,0,760,"Home economics","Non-STEM"
"177",1975,"Public",45,5,844,"Food science","Non-STEM"
"178",1975,"Public",46,0,449,"Clothing","Non-STEM"
"179",1975,"Public",47,52,129,"Housing","Non-STEM"
"180",1975,"Public",48,0,238,"Child","Non-STEM"
"181",1975,"Public",49,0,0,"Pedagogy","Non-STEM"
"182",1975,"Public",50,0,0,"Elementary school education","Non-STEM"
"183",1975,"Public",51,0,0,"Junior high school education","Non-STEM"
"184",1975,"Public",52,0,0,"High school education","Non-STEM"
"185",1975,"Public",53,0,0,"Specialized subjects education","Non-STEM"
"186",1975,"Public",54,0,0,"Visually impaired education","Non-STEM"
"187",1975,"Public",55,0,0,"Deaf education","Non-STEM"
"188",1975,"Public",56,0,0,"Special school education","Non-STEM"
"189",1975,"Public",57,0,0,"Kindergarten education","Non-STEM"
"190",1975,"Public",58,0,0,"Physical education","Non-STEM"
"191",1975,"Public",59,358,1062,"Pedagogy: Others","Non-STEM"
"192",1975,"Public",60,550,297,"Fine arts","Non-STEM"
"193",1975,"Public",61,302,119,"Design","Non-STEM"
"194",1975,"Public",62,117,398,"Music","Non-STEM"
"195",1975,"Public",63,39,83,"Fine arts: Others","Non-STEM"
"196",1975,"Public",64,0,0,"Liberal arts","Non-STEM"
"197",1975,"Public",66,0,0,"Liberal arts (humanities and social sciene)","Non-STEM"
"198",1975,"Public",67,0,0,"Liberal arts (science)","Non-STEM"
"199",1975,"Private",1,40771,91930,"Literature","Non-STEM"
"200",1975,"Private",2,13031,10592,"History","Non-STEM"
"201",1975,"Private",3,12305,5723,"Philosophy","Non-STEM"
