"","major","contMitMt_National & Public_1975","contMitMt_Private_1975","contMitMt_Total_1975","contMitMt_National & Public_2019","contMitMt_Private_2019","contMitMt_Total_2019","contFitFt_National & Public_1975","contFitFt_Private_1975","contFitFt_Total_1975","contFitFt_National & Public_2019","contFitFt_Private_2019","contFitFt_Total_2019"
"1","Literature",0.0347745090429248,0.0387113004921461,0.0379224857449798,0.00633092291422528,0.0368235371183126,0.0293024928092042,0.123920945024989,0.356622760369795,0.295007518796992,0.0266125484864238,0.107935410545281,0.0910547307869496
"2","History",0.0065202204455484,0.0133178194625702,0.0118874473184034,0.0016720496184297,0.0139433469647486,0.0109166149681349,0.0114152657882781,0.0437494886689029,0.035187969924812,0.00219938417243172,0.013423838180685,0.0110939101779259
"3","Philosophy",0.00683070713343165,0.0121175909474468,0.0110073547640691,0.000300111469974562,0.0152862129308167,0.0115898708476679,0.00988187187641981,0.0205964165916714,0.0177593984962406,0.00133962490502659,0.0298592670573878,0.0239392719439868
"4","Humanities: Others",0.00551113870992781,0.00570763691253007,0.00567308486901909,0.0477891788378541,0.0377078634862111,0.0401944334780892,0.00755338482507951,0.027182361122474,0.021984962406015,0.118886711720718,0.091070502647581,0.0968444818899076
"5","Law and politics",0.0549949545913219,0.141385870847026,0.123171638707545,0.0363849429788207,0.0975145282189012,0.0824368337939203,0.00976828714220809,0.0401906242330034,0.0321353383458647,0.0317910984924221,0.0526478429154293,0.048318481964614
"6","Business and economics",0.152390747496701,0.408350236114824,0.354371539542187,0.119615857318433,0.281707077418328,0.241727059951497,0.0173216719672876,0.061134745970711,0.0495338345864662,0.0942336145879154,0.135914397498547,0.127262464566308
"7","Sociology",0.0011061088255841,0.0286115609784221,0.0227915048343112,0.014734044073513,0.057574793423232,0.0470080649709548,0.00902998636983189,0.0663707764051379,0.051187969924812,0.0306714120046387,0.0830622901706917,0.0721871978019698
"8","Social sciences: Others",0.00611270666770162,0.00758397668726447,0.00728039005040906,0.0290965215651528,0.039654317290686,0.0370502227736732,0.00136301681054066,0.00378385011862881,0.00314285714285714,0.0348302475306914,0.0277642474427667,0.0292309799413139
"9","Mathematics",0.0160288752619731,0.00586487208918379,0.00803652590694984,0.012747591962729,0.00955914692918839,0.0103455811854943,0.00880281690140845,0.00760860672502659,0.00792481203007519,0.00395889151037709,0.00248259824332605,0.00278904139153244
"10","Physics",0.0210354731040907,0.0070651006043072,0.0100487563011321,0.0146054248720953,0.00609670506545887,0.00819539225086008,0.00477055883689232,0.00104311543810848,0.00203007518796992,0.00325908745551246,0.00123082402358992,0.00165184296700879
"11","Chemistry",0.0143794147325933,0.00609024250905413,0.00786298653003884,0.0092605825020722,0.00509540431027222,0.00612275111386837,0.0107337573830077,0.00621778614088194,0.00741353383458647,0.00527852201383613,0.00305872863734687,0.00351950461312427
"12","Biology",0.00704416673135139,0.000157235176653721,0.00162383274109578,0.00800297253265499,0.00333143054996678,0.00448367266369635,0.00732621535665607,0.000306798658267201,0.00216541353383459,0.00781781101291638,0.00269210020478817,0.00375607508829889
"13","Geography",0.00463789490025615,0.000330193870972814,0.00124783075778861,0.00513047703432704,0.00069716734823743,0.00179064914556427,0.000511131303952749,0.00012271946330688,0.000225563909774436,0.00257927780221538,0.00032996558930283,0.000796868969009268
"14","Physical sciences: Others",0.00896530311262905,0.00298222718386557,0.00425997851417238,0.0275530911481407,0.00898831191922217,0.0135673396875529,0.00380508859609269,0.00100220895033952,0.00174436090225564,0.0184548326468589,0.00569321580273295,0.00834222201931577
"15","Mechanical engineering",0.079077078320267,0.0566465929757805,0.0614949177753905,0.0825163632206248,0.0417879301148221,0.0518336529242569,0.000170377101317583,0.0001022662194224,0.000120300751879699,0.00859759267405127,0.00251402353754537,0.00377682688436684
"16","Telecommunications engineering",0.0785919428704494,0.0638269993763005,0.0670523097264689,0.119358618915597,0.0662449350090304,0.0793454965878969,0.000511131303952749,0.000634050560418882,0.000601503759398496,0.0170952133402647,0.00748445757323403,0.00947942044383941
